,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
52,2,3,1,3,1,1,1,1,1,3,19,6,0,18,8,18,2,19,14,14,0,15,13,2,2,0,1,0,0,1,-1095.0,,,,-9040.0,-1090.0,,,-3070.0,
53,2,3,1,3,1,1,1,1,1,0,9,6,0,18,8,8,2,19,4,14,6,15,13,2,13,4,1,0,14,1,,,,,,,,,,-4070.0
54,2,3,1,1,1,1,1,2,1,0,9,19,0,18,8,8,2,19,4,4,6,2,13,2,13,4,1,0,14,12,,,,-5090.0,,,,-95.0,,
55,2,3,1,1,1,1,1,2,1,0,9,19,12,8,8,8,2,9,4,4,6,2,1,12,13,4,1,9,14,12,,,,,,,,,,
56,2,3,1,1,1,1,1,2,1,0,14,19,12,8,11,11,2,9,16,4,1,2,1,12,0,1,1,9,2,12,,-4095.0,,,,,,,,
57,3,3,1,1,1,1,1,2,1,0,14,9,12,8,11,11,2,9,16,15,1,10,1,12,0,1,1,9,2,1,-3070.0,,,,,,,,,
58,3,3,1,1,1,1,1,2,1,0,4,9,12,19,11,11,2,18,16,15,12,10,1,1,0,1,1,0,2,1,,,,,,,,,,
59,3,3,0,1,1,1,6,2,1,0,4,9,12,19,11,11,2,18,16,15,12,10,1,1,0,1,1,0,2,1,,,-2060.0,,,,-2010.0,-1090.0,,
60,3,3,0,1,1,2,6,2,1,0,4,19,2,19,11,11,2,8,16,15,12,0,9,1,0,1,17,3,2,1,,,,,,-1055.0,,,,
61,3,3,0,1,1,2,6,2,1,1,16,19,2,19,11,1,2,8,16,15,0,0,9,1,0,22,17,3,2,1,,,,,,,,,-3080.0,-11075.0
62,3,3,0,1,1,2,6,2,1,1,16,19,2,19,11,1,2,8,6,5,0,0,9,1,0,22,17,3,12,11,,,,,,,,,,
